,review,sentiment
0,quite happy with  the service.  overall a very good experience.  well packed and the delivered,Postive
1,Overall Awesome experience with porter 😇,Postive
2,"1)More UPI payment options in or through the app.
2.)Show previous/completed orders/services in my profile with customer support to that order/service directly.
3.)Add more options(items) for shifting on the app/have a search option for items ",Postive
3,"Good work, satisfied with portar, Especially supervisor job is good",Postive
4,Good keep going,Postive
5,"Good service, Staff behavior excellent",Postive
6,Very nice ,Postive
7,Very good ,Postive
8,All good ,Postive
9,"The guys were very quick and neat in packing, i liked that reusable materials are used for package",Postive
10,Unpacking was disaggreed,Postive
11,Great work ,Postive
12,Very good service by Sohail & team from porter & very reasonable charge. Loved the experience. Will definitely recommend to friend & family ,Postive
13,GREAT OF AMAZING STAFF YOU ARE THE GREATEST  OF AMAZING TEAM SERVICE AND  VERY BEST MATERIAL AND VERY GOOD PACKING LOADING AND UNLOADING THANKS TO PORTER I AM HAPPY THIS SERVICE ,Postive
14,Nice crew and better handling of materials. Appreciate efforts of Porter.com,Postive
15,Additional services of installation ,Postive
16, Good job  loved the experience ,Postive
17,Not able to see latest order in app,Postive
18,"Excellent service as usual. 
This is the 3rd time, I have used the services of Porter. 
Service people are very helpful to keep all my essential with high care. 
No issues with them. 
Extremely happy and satisfied  with Porter!! 🤗🤗",Postive
19,good service ,Postive
20,All good,Postive
21,Good,Postive
22,Good,Postive
23,U are very good ,Postive
24,Excellent services and good staff,Postive
25,Crew members were very good. ,Postive
26,"When we are buying n keeping the cartons, new carton boxes should be given",Postive
27,Reduce price. I feel i paid a lot for 500 meter shiftin,Postive
28,Awesome service,Postive
29,Everything is nice I am happy thank you d,Postive
30,The team was good and timely shifting ,Postive
31,"Location nearby in online dialogue boxes mostly not available. Example in my case 13th Street thillai ganga Nagar.(only Ram nagar).and most people not aware online services. Other wise your  services are. Thanks.
",Postive
32,Good crew and were very helpful,Postive
33,Overall happy experience,Postive
34,Best service ,Postive
35,Very good team and handled the packing delivery both in a very good manner ,Postive
36,Siddharth and his team were highly professional and did  the job efficiently,Postive
37,Everything was good,Postive
38,Very professional behaviour and good communication ,Postive
39,Actually nice! Na kooda bayandhute irundha epdi kondu povanga nu but superb ah panitanga 3 peru vandhanga nalla pananga very happy :) idhe mari epovum irundha nalla irukum 👍🔥,Postive
40,No issue with service. Awesome service provided by porter.,Postive
41,Thanks for the support,Postive
42,Partners ask for additional tips. Had to be told for every item to be packed properly. Especially fragile items,Postive
43,Not able to change the timing ,Postive
44,Nice Service ,Postive
45,"All good, it would be great if charges are less. ",Postive
46,The service was very good..owner himself was present end to end. He was very supportive and helped in arranging luggage. He explained so many aspect about packaging. Provided solutions to many problem.,Postive
47,Everything was great entire process of shifting was very smooth. Timely resolution of issues and porters customer service is great they are always available for any assistance required. Only issue with AC installation process and technicians other than that it was a great experience. Our movement co ordinator/ vender Rahul was very helpful and professional.,Postive
48,Thanks,Postive
49,👍,Postive
50,Good service totally,Postive
51,Amol was very supportive ,Postive
52,Good just need to improve the clearity while booking becz there is no option for few small items for which the shifting person may charge extra for it.,Postive
53,Small vehicle was sent which took more time to arrange and fit in the vehicle for all items. Have left few items back and need to carry in own vehicle. ,Postive
54,Great work ,Postive
55,"The delivery crew was very Professional and they waited patiently for me to come and start packing. What I liked was, the delivery was done at the time for which it was promised",Postive
56,"You can work on customise plans where prrson dosent have to take things which he dont require it. Also, you must ask some executive to visit the location and take the judgement of the things and then share the quotation as it is not affortable to pay the increased quote at the last moment.",Postive
57,Good fast service thank you,Postive
58,Nice service,Postive
59,Please give more discounts ,Postive
60,Mention more materials think like middle class family add more items inthe selection list and remaining all is good 😊,Postive
61,Good  crew behaviour ,Postive
62,Crew behaviour was great. Extremely sweet and professional in getting the work done.,Postive
63,Great platform,Postive
64,Great platform,Postive
65,Pls update your order booking checklist and try to proactively provide best possible estimate where deviation in actuals remains in range of 10% of estimated quote,Postive
66,"Do not believe on vendor, do not increase rate",Postive
67,Crew has done a good job in delivering the thing’s safely to the destination,Postive
68,Everything is fine. Type of materials like big stools and show cases can be listed in packing materials list.,Postive
69,"Overall it was a good experience, The cost you charge for the order is high and only 2 persons were alloted which was not enough to shift the heavy items. They tried to deliver their 100%. But at the end they are also humans. So that's the one suggestion I have for the porter to deploy more persons as per the size of order.",Postive
70,"I'm very happy,crew members behaviour like a family member very honest people hardworking members.",Postive
71,Please selling cartons also,Postive
72,Charged extra amount after dilivery of home stuff. This is my first and last order to Porter. As you people are in home shifting business there might be increase or decrease amount of material to be shifted. If u are billing in such a manner then no one will keep faith in you. ,Postive
73,Overall experience was good,Postive
74,Great services ,Postive
75,Porter crew were very good polite. Packing and moving process was timely.,Postive
76,Very good home shifting ,Postive
77,"Excellent work,keep rocking ",Postive
78,"Should be on time  incase emergency, inform customers what they are going to do.",Postive
79,Very professional packing and moving. Highly recommended. ,Postive
80,Excellent job ,Postive
81,The shifting was very easy & convenient,Postive
82,"Ok, i had shifted only dinning table , basis that the overall exp was good ",Postive
83,"Mr. Deepak, who was our assigned crew person reached the pickup place very timely. He managed all the packaging and delivery process seamlessly. The fridge, washing machine, and microwave over were packed gently with enough layers for protection. Really glad with the service, highly recommend!",Postive
84,"time slots are given only 2, actually we were looking for 3pm arrival, we understand it may be night and could have few obstacles during transition … as the customer time slot not given and it’s auto time popping, in this case you may ask porter guys to come at customer said time in lieu of selected time . when i called portal guys to come at 3pm they were hesitant in coming at my time by saying M&P want us at selected time onky… which is not appreciated as customer wants his time to get things packed not M&P",Postive
85,Good service ,Postive
86,Service was good,Postive
87,Happy.,Postive
88,Overall good experience.,Postive
89,"Furniture damage, you should refund the damage amount",Postive
90,Move guys are friendly and supportive. Highly recommend ,Postive
91,Good service ,Postive
92,Thanks ,Postive
93,Good service reasonable cost,Postive
94,Good,Postive
95,All r good only to select the itme for shifting is difficult to choose if we need to complete house.,Postive
96,Properly assisted by Sandip Sir. Timely pickup and delivery done with proper cautions. Thanks!,Postive
97,Good one ,Postive
98,Please allow customers to add their floor number or the exact address they have.,Postive
99,"Team arives on time, pick up and delivery happened at correct time.",Postive
100,Shifting Experience. NA,Postive
101,Value for Money. NA,Postive
102,Shifting Experience. TV installation pending because person with the expertise in it was not sent.,Postive
103,Shifting Experience. NA,Postive
104,Booking Experience. NA,Postive
105,Shifting Experience. NA,Postive
106,Value for Money. NA,Postive
107,Shifting Experience. NA,Postive
108,Shifting Experience. NA,Postive
109,Shifting Experience. Please remain upto the conversation and promises done with the customer,Postive
110,Shifting Experience. NA,Postive
111,Shifting Experience. Demanded for tip - I payed 2500,Postive
112,Shifting Experience. No,Postive
113,Value for Money. NA,Postive
114,Shifting Experience. NA,Postive
115,Shifting Experience. Yes,Postive
116,Shifting Experience. NA,Postive
117,Booking Experience. NA,Postive
118,Shifting Experience. NA,Postive
119,Value for Money. NA,Postive
120,Shifting Experience. yes,Postive
121,Value for Money. NA,Postive
122,Value for Money. Packers and movers are expecting too much of tips demanding,Postive
123,Booking Experience. You can call me anytime to have a more proper feedback,Postive
124,Shifting Experience. Yes,Postive
125,Value for Money. NA,Postive
126,Shifting Experience. NA,Postive
127,Shifting Experience. Send good quality carton boxes.,Postive
128,Shifting Experience. NA,Postive
129,Shifting Experience. NA,Postive
130,Booking Experience. NA,Postive
131,Shifting Experience. NA,Postive
132,Shifting Experience. The packing was very poor and handling of the items was also not at all good,Postive
133,Shifting Experience. NA,Postive
134,Shifting Experience. NA,Postive
135,Value for Money. NA,Postive
136,Booking Experience. NA,Postive
137,"Shifting Experience. Not satisfied at all,",Postive
138,Value for Money. the Driver and the Labours demanded huge amount as tip,Postive
139,Booking Experience. NA,Postive
140,Value for Money. NA,Postive
141,Shifting Experience. Yes,Postive
142,Value for Money. NA,Postive
143,Value for Money. NA,Postive
144,Shifting Experience. Packing not done properly and they saved bubble wrapper and carton sheet.. for most of the items 3 layer packing is not done,Postive
145,"Shifting Experience. Porter is not at all highly experienced in intercity packers and movers, huge communication gap. Not giving importance of time of client. By own willingness working to do. If you stop working with this 3rd party movers and packers then Porter will exel. I will not recommend Porter for Intercity PnM to my relatives and friends.",Postive
146,Shifting Experience. They left our bicycle,Postive
147,Shifting Experience. Worth service,Postive
148,Shifting Experience. Wrapping of items not done,Postive
149,Value for Money. NA,Postive
150,Shifting Experience. NA,Postive
151,Shifting Experience. NA,Postive
152,Value for Money. The porter houseshifting is not yet ready for market,Postive
153,Value for Money. Vendor quoting higher amount at the  end,Postive
154,Shifting Experience. NA,Postive
155,Shifting Experience. Be more professional,Postive
156,Shifting Experience. I was cheated and will post this online,Postive
157,Value for Money. NA,Postive
158,Booking Experience. NA,Postive
159,Shifting Experience. NA,Postive
160,Value for Money. NA,Postive
161,Shifting Experience. NA,Postive
162,Value for Money. NA,Postive
163,Shifting Experience. NA,Postive
164,Shifting Experience. NA,Postive
165,Shifting Experience. Pls choose reliable partners whom you and customer can trust,Postive
166,Booking Experience. Not satisfied with your hospitality and everything cartan boxes are very small and shifting experts charges me extra of Rs 2200 for 7 cartan box for only shifting not for leaving with use very bad on your,Postive
167,Booking Experience. No,Postive
168,Shifting Experience. Average 7 to 8,Postive
169,Shifting Experience. Guys who came for shifting were not good.,Postive
170,Shifting Experience. AC not yet installation done,Postive
171,Shifting Experience. NA,Postive
172,Shifting Experience. NA,Postive
173,Shifting Experience. NA,Postive
174,Value for Money. But no call back was done,Postive
175,Booking Experience. I have paid 4000 Rs I need invoice for that,Postive
176,Shifting Experience. NA,Postive
177,Shifting Experience. NA,Postive
178,Shifting Experience. NA,Postive
179,Value for Money. NA,Postive
180,Booking Experience. NA,Postive
181,Shifting Experience. NA,Postive
182,Shifting Experience. No,Postive
183,Shifting Experience. NA,Postive
184,Value for Money. NA,Postive
185,Booking Experience. NA,Postive
186,Shifting Experience. NA,Postive
187,Value for Money. NA,Postive
188,Shifting Experience. NA,Postive
189,Shifting Experience. Send somebody who can do the work professionally,Postive
190,Shifting Experience. Never give fake commitments to customers,Postive
191,Shifting Experience. NA,Postive
192,Shifting Experience. NA,Postive
193,Shifting Experience. NA,Postive
194,Value for Money. NA,Postive
195,Value for Money. NA,Postive
196,Shifting Experience. Close ur business,Postive
197,Shifting Experience. Request call back,Postive
198,Value for Money. NA,Postive
199,Shifting Experience. Average 7 to 8,Postive
200,Value for Money. It's not correct,Postive
201,Value for Money. NA,Postive
202,Value for Money. NA,Postive
203,Shifting Experience. NA,Postive
204,Shifting Experience. NA,Postive
205,Value for Money. NA,Postive
206,Value for Money. NA,Postive
207,Booking Experience. NA,Postive
208,Shifting Experience. NA,Postive
209,Booking Experience. NA,Postive
210,Value for Money. NA,Postive
211,Value for Money. NA,Postive
212,Value for Money. NA,Postive
213,Booking Experience. NA,Postive
214,Value for Money. Over priced,Postive
215,Value for Money. NA,Postive
216,Shifting Experience. You have gap between you and customer,Postive
217,Shifting Experience. NA,Postive
218,Shifting Experience. NA,Postive
219,Shifting Experience. NA,Postive
220,Shifting Experience. NA,Postive
221,Value for Money. NA,Postive
222,Shifting Experience. NA,Postive
223,Value for Money. NA,Postive
224,Shifting Experience. NA,Postive
225,Value for Money. NA,Postive
226,Value for Money. NA,Postive
227,Shifting Experience. NA,Postive
228,Shifting Experience. NA,Postive
229,Shifting Experience. My Fridge not working after shifting,Postive
230,Shifting Experience. Please communicate properly with customer and partner,Postive
231,Value for Money. NA,Postive
232,Shifting Experience. NA,Postive
233,Value for Money. NA,Postive
234,Shifting Experience. NA,Postive
235,Value for Money. Make some fair price,Postive
236,Value for Money. NA,Postive
237,Shifting Experience. Definitely not value for money.,Postive
238,Booking Experience. Not professional,Postive
239,Booking Experience. NA,Postive
240,Booking Experience. NA,Postive
241,Shifting Experience. NA,Postive
242,Booking Experience. NA,Postive
243,Shifting Experience. NA,Postive
244,Shifting Experience. NA,Postive
245,Booking Experience. NA,Postive
246,Shifting Experience. NA,Postive
247,Shifting Experience. NA,Postive
248,Value for Money. NA,Postive
249,Shifting Experience. NA,Postive
250,Shifting Experience. NA,Postive
251,Value for Money. NA,Postive
252,Shifting Experience. NA,Postive
253,Shifting Experience. And bought,Postive
254,Value for Money. Please let the customer know about the packages available and packing available for each package available,Postive
255,Shifting Experience. NA,Postive
256,Shifting Experience. NA,Postive
257,Shifting Experience. NA,Postive
258,Shifting Experience. NA,Postive
259,Shifting Experience. NA,Postive
260,Shifting Experience. NA,Postive
261,"Booking Experience. Please specify the carton box size while booking , so that it would be easy to plan accordingly",Postive
262,Shifting Experience. NA,Postive
263,Shifting Experience. NA,Postive
264,Shifting Experience. NA,Postive
265,Shifting Experience. NA,Postive
266,Shifting Experience. I am not at all happy with the service,Postive
267,Shifting Experience. NA,Postive
268,Booking Experience. NA,Postive
269,Shifting Experience. NA,Postive
270,Shifting Experience. NA,Postive
271,Shifting Experience. NA,Postive
272,Value for Money. NA,Postive
273,Booking Experience. NA,Postive
274,Shifting Experience. NA,Postive
275,Value for Money. They did not bought ropes to lift the goods via balcony,Postive
276,Value for Money. Inform the team not keep even buckets in carton boxes just to increase the number and grab more money from customer,Postive
277,Shifting Experience. NA,Postive
278,Shifting Experience. Yes,Postive
279,Shifting Experience. NA,Postive
280,Booking Experience. NA,Postive
281,Shifting Experience. NA,Postive
282,Shifting Experience. NA,Postive
283,Shifting Experience. NA,Postive
284,Shifting Experience. NA,Postive
285,Shifting Experience. NA,Postive
286,Booking Experience. Your contractor try to earn every were ..fooling to customer....no proper packing...,Postive
287,Value for Money. Comparatively it is too expensive,Postive
288,Shifting Experience. NA,Postive
289,Shifting Experience. No,Postive
290,Booking Experience. NA,Postive
291,"Shifting Experience. Supervisor was not at all cooperative. First of all he did not pack my electronic goods in bubble wrap. Secondly he was complaining that some of  items (kids bycycle, pillows and plants) is not mentioned in the list. I said I can get this included and we can revise the bill.. However he was not ready for that as well. Due to this I had to bring some of the items personally in my car. Not happy with the service at all.",Postive
292,Booking Experience. One of wroste experience with porter,Postive
293,Value for Money. FU,Postive
294,"Value for Money. Every time, I have to explain my matter again and again.",Postive
295,Shifting Experience. They threw all the stuff to get their cartoons back,Postive
296,Shifting Experience. Please send vehicle accordingly to items,Postive
297,Shifting Experience. I had to follow up with them multiple times regarding the shifting,Postive
298,Value for Money. No,Postive
299,Shifting Experience. NA,Postive
300,Shifting Experience. NA,Postive
301,Shifting Experience. NA,Postive
302,Value for Money. NA,Postive
303,Shifting Experience. NA,Postive
304,Booking Experience. No,Postive
305,Booking Experience. Good 9 to 10,Postive
306,Shifting Experience. NA,Postive
307,Value for Money. NA,Postive
308,Shifting Experience. My house materials were not shifted properly.,Postive
309,Value for Money. Don't make false promises or make communication clear,Postive
310,Booking Experience. Stop stealing items from. The customer,Postive
311,Value for Money. NA,Postive
312,Booking Experience. NA,Postive
313,Shifting Experience. NA,Postive
314,There is dent in my Refrigerator,Postive
315,Not at all a good experience with Porter or the shifting vendors,Postive
316,It's before booking or after completing they did not used rope at all after informing also porter is not ready to repay back my 1050.00 rs then what is the use then what kind of customer service you are giving waste and worst behaviour by porter customer care,Postive
317,Security not refunded,Postive
318,Nor properly organized,Postive
319,Yes i will not recommend porter movers and packers service,Postive
320,Yes,Postive
321,Please control your  market dealing persons to avoid bribes,Postive
322,"Amture, staff put a dent on my item",Postive
323,No further usage this porter or recommendation to anyone,Postive
324,Also the app did not allow to select multiple floors,Postive
325,The suggestion is to strategize your shifting as well as booking app experience by adding small locale based cars for shifting from less widen roads to a bigger truck for intercity shiftings.,Postive
326,Give proper knowledge to your associates regarding your policies of shifting and how to convey things properly and clearly.,Postive
327,Tod dia saman mera,Postive
328,Infact I should get the reimbursement of that,Postive
329,Chose partner wisely,Postive
330,Yes,Postive
331,Plz send discount coupon,Postive
332,Quote should be given after phisical inspection and size of cartons should be standard.,Postive
333,Yes,Postive
334,Pl resolve my complaint asap,Postive
335,Goods Handling is very Poor. Not done Bubble wraps for sensitive items like bed parts. Little Scratches on washing machine. Water purifier not installed,Postive
336,Yes,Postive
337,You need to send spacious vehicle,Postive
338,Manage good vendors with customer friendly,Postive
339,Yes,Postive
340,Provided proper packing material,Postive
341,Item must be packed with proper care,Postive
342,Choose your partners wisely,Postive
343,Employee labour who are not under age. And send vehicle and labour according to booking,Postive
344,"Packers and movers should handle the goods safely. The partner assigned for my shifting, handled my AC and washing machine roughly leading to some scratches on the body..",Postive
345,Yes,Postive
346,Yes,Postive
347,Educate your movers on how to handle equipments like fridges and washing machines,Postive
348,Better coordination with your vendors,Postive
349,Shifting professional should be well trained.,Postive
350,"Choose your partners wisely
And 
Use the material in packing you committed so that expensive furniture doesn't get damaged.",Postive
351,Ensure that the vehicle you have booked for shifting and the vehicle the packers and movers are sending should be same,Postive
352,"People who came were not good, they damaged both furniture and house",Postive
353,Excellent,Postive
354,Third class services,Postive
355,Be panctual as per booking timings,Postive
356,Very costly service and not got a satisfactory response,Postive
357,"Value customers.do business with genuine, polite, trustworthy and ethical vendors.",Postive
358,Yes,Postive
359,"Keep your word,plan well before reaching drop place",Postive
360,Guys who came for packing were very cordial and helped us throughout patiently,Postive
361,"Not handling materials smoothly,
Came across multiple damages to double bed and cot and wooden furnitures",Postive
362,Not happy with your services,Postive
363,Not provided the premium service,Postive
364,Get good people on board,Postive
365,Staff should be equipped with good quality packaging tape etc,Postive
366,"Kindly make your executives inform the right thing to the customer. 

More professional shifting labour/supervisor.",Postive
367,"Because of my ecperience.I opted porter based on my friends reconmendation
but it was not good",Postive
368,Need your support,Postive
369,So i had to choose a 4 seater sofa,Postive
370,Packing up of electronic items was not done properly,Postive
371,Can I speak to customer care ?,Postive
372,Helpers needs to be well aware of the efforts that are needed,Postive
373,Your service is not good,Postive
374,Po,Postive
375,Please ensure to have professional people for shifting,Postive
376,Worst experience and my issues are not resolved,Postive
377,Paid*,Postive
378,While shifting they made some parmanent scretch on the brand new fridge 🥺🥺,Postive
379,Understand the client’s requirements properly so that the price you are giving to client will not change after the service,Postive
380,If you connect with someone don't hide T&c,Postive
381,Average 7 to 8,Postive
382,My experience is not good with porter and I am not suggest any one because of service is very bad and payment issue also he is not saying clearly for payment so I not happy with porter,Postive
383,"Your people charge 200/- more. Said your goods is more. If you give than only we do other wise we are going. 
They give me 6 o'clock slot, arrived 8pm",Postive
384,Yes,Postive
385,I highly recommend not to opt for porter if such vendors are associated with porter,Postive
386,Updated proper items with proper names and list out the charges,Postive
387,"It was mentioned as bubble wrap but no wrap was done.
They charged so much within city delivery",Postive
388,Packing and transition to be good,Postive
389,Better communication,Postive
390,Handle with care the belongings because we trust you to to transport them without breaking and rough handling,Postive
391,Thanks,Postive
392,Try to enroll genuine person as your vendor. the vendor starts negotiating for his own benefit keeping the Porter App aside which is unethical,Postive
